10_002_C_snippet
 risk of interval [0,4]: 0.015125620178878307
 risk of interval [60,64]: 0.8891353607177734
 risk of interval [65,69]: 0.9212742447853088
 risk of interval [70,74]: 0.9727541208267212
3_025_C_snippet
 risk of interval [0,4]: 0.8172090649604797
 risk of interval [5,9]: 0.7625597715377808
 risk of interval [10,14]: 0.9527003765106201
 risk of interval [15,19]: 0.9010368585586548
 risk of interval [20,24]: 0.5309995412826538
 risk of interval [25,29]: 0.979166567325592
 risk of interval [30,34]: 0.6533051133155823
 risk of interval [35,39]: 0.9002628326416016
 risk of interval [40,44]: 0.9057050347328186
 risk of interval [45,49]: 0.8564406633377075
 risk of interval [50,54]: 0.8633857369422913
 risk of interval [55,59]: 0.8464551568031311
 risk of interval [60,64]: 0.8527024388313293
 risk of interval [65,69]: 0.8519101738929749
 risk of interval [70,74]: 0.8004535436630249
3_026_C_snippet
 risk of interval [0,4]: 0.02278577908873558
 risk of interval [5,9]: 0.013971067033708096
 risk of interval [10,14]: 0.24734950065612793
 risk of interval [15,19]: 0.3461456894874573
 risk of interval [20,24]: 0.980004608631134
 risk of interval [25,29]: 0.9779528379440308
 risk of interval [30,34]: 0.9519169926643372
 risk of interval [35,39]: 0.907456636428833
 risk of interval [40,44]: 0.1399998664855957
 risk of interval [45,49]: 0.05024595931172371
 risk of interval [50,54]: 0.1626574844121933
 risk of interval [55,59]: 0.47074729204177856
 risk of interval [60,64]: 0.16398076713085175
 risk of interval [65,69]: 0.7421621680259705
 risk of interval [70,74]: 0.5563483834266663
3_027_C_snippet
 risk of interval [0,4]: 0.32659056782722473
 risk of interval [5,9]: 0.2612368166446686
 risk of interval [10,14]: 0.038367390632629395
 risk of interval [15,19]: 0.4557029604911804
 risk of interval [20,24]: 0.8354788422584534
 risk of interval [25,29]: 0.8799339532852173
 risk of interval [30,34]: 0.3790358006954193
 risk of interval [35,39]: 0.5467914938926697
 risk of interval [40,44]: 0.6714848279953003
 risk of interval [45,49]: 0.7506064176559448
 risk of interval [50,54]: 0.8983297944068909
 risk of interval [55,59]: 0.8467309474945068
 risk of interval [60,64]: 0.8298479318618774
 risk of interval [65,69]: 0.813302218914032
 risk of interval [70,74]: 0.8702313899993896
4_000_C_snippet
 risk of interval [0,4]: 0.13670790195465088
 risk of interval [5,9]: 0.5836426019668579
 risk of interval [10,14]: 0.9106242656707764
 risk of interval [15,19]: 0.9551800489425659
 risk of interval [20,24]: 0.9842364192008972
 risk of interval [25,29]: 0.9824236631393433
 risk of interval [30,34]: 0.7653453350067139
 risk of interval [35,39]: 0.5227689743041992
 risk of interval [40,44]: 0.7796421051025391
 risk of interval [45,49]: 0.8012202382087708
 risk of interval [50,54]: 0.629092276096344
 risk of interval [55,59]: 0.7672844529151917
 risk of interval [60,64]: 0.7607941031455994
 risk of interval [65,69]: 0.6949929594993591
 risk of interval [70,74]: 0.615278959274292
4_002_C_snippet
 risk of interval [0,4]: 0.7939567565917969
 risk of interval [5,9]: 0.881991446018219
 risk of interval [10,14]: 0.5579114556312561
 risk of interval [15,19]: 0.8525710701942444
 risk of interval [20,24]: 0.8887739777565002
 risk of interval [25,29]: 0.8987959623336792
 risk of interval [30,34]: 0.8949819207191467
 risk of interval [35,39]: 0.6878518462181091
 risk of interval [40,44]: 0.7850937843322754
 risk of interval [45,49]: 0.053055234253406525
 risk of interval [50,54]: 0.02864297665655613
 risk of interval [55,59]: 0.7632440328598022
 risk of interval [60,64]: 0.7551142573356628
 risk of interval [65,69]: 0.4804299771785736
 risk of interval [70,74]: 0.35882434248924255
4_003_C_snippet
 risk of interval [0,4]: 0.22596029937267303
 risk of interval [5,9]: 0.24314968287944794
 risk of interval [10,14]: 0.8501127362251282
 risk of interval [15,19]: 0.9573485255241394
 risk of interval [20,24]: 0.47236013412475586
 risk of interval [25,29]: 0.2892221212387085
 risk of interval [30,34]: 0.03456183150410652
 risk of interval [35,39]: 0.09032806009054184
 risk of interval [40,44]: 0.44580885767936707
 risk of interval [45,49]: 0.4767932593822479
 risk of interval [50,54]: 0.5485278964042664
 risk of interval [55,59]: 0.6378070116043091
 risk of interval [60,64]: 0.5469011664390564
 risk of interval [65,69]: 0.5995794534683228
 risk of interval [70,74]: 0.5083491206169128
4_005_C_snippet
 risk of interval [0,4]: 0.6830533146858215
 risk of interval [5,9]: 0.9603629112243652
 risk of interval [10,14]: 0.801723062992096
 risk of interval [15,19]: 0.8178520202636719
 risk of interval [20,24]: 0.913597047328949
 risk of interval [25,29]: 0.8656108975410461
 risk of interval [30,34]: 0.9253098964691162
 risk of interval [35,39]: 0.8931469917297363
 risk of interval [40,44]: 0.9041359424591064
 risk of interval [45,49]: 0.9337036609649658
 risk of interval [50,54]: 0.9900298714637756
 risk of interval [55,59]: 0.8765988945960999
 risk of interval [60,64]: 0.9642022252082825
 risk of interval [65,69]: 0.8855935335159302
 risk of interval [70,74]: 0.9828785061836243
4_007_C_snippet
 risk of interval [0,4]: 0.7345037460327148
 risk of interval [5,9]: 0.6393663287162781
 risk of interval [10,14]: 0.044869132339954376
 risk of interval [15,19]: 0.28288745880126953
 risk of interval [20,24]: 0.3881741166114807
 risk of interval [25,29]: 0.6801117658615112
 risk of interval [30,34]: 0.8818581700325012
 risk of interval [35,39]: 0.8163809776306152
 risk of interval [40,44]: 0.8967447876930237
 risk of interval [45,49]: 0.7766370177268982
 risk of interval [50,54]: 0.8891945481300354
 risk of interval [55,59]: 0.7973806858062744
 risk of interval [60,64]: 0.8842887878417969
 risk of interval [65,69]: 0.8896768093109131
 risk of interval [70,74]: 0.9063294529914856
4_008_C_snippet
 risk of interval [0,4]: 0.5980808138847351
 risk of interval [5,9]: 0.6626546382904053
 risk of interval [10,14]: 0.0700937956571579
 risk of interval [15,19]: 0.41613009572029114
 risk of interval [20,24]: 0.41669055819511414
 risk of interval [25,29]: 0.8132513165473938
 risk of interval [30,34]: 0.9619723558425903
 risk of interval [35,39]: 0.9257614016532898
 risk of interval [40,44]: 0.9318318367004395
 risk of interval [45,49]: 0.9664536118507385
 risk of interval [50,54]: 0.9212341904640198
 risk of interval [55,59]: 0.915282666683197
 risk of interval [60,64]: 0.4536905884742737
 risk of interval [65,69]: 0.17835520207881927
 risk of interval [70,74]: 0.3636094629764557
4_009_C_snippet
 risk of interval [0,4]: 0.4525078535079956
 risk of interval [5,9]: 0.9870994687080383
 risk of interval [10,14]: 0.18721342086791992
 risk of interval [15,19]: 0.8501061797142029
 risk of interval [20,24]: 0.9211228489875793
 risk of interval [25,29]: 0.9861257076263428
 risk of interval [30,34]: 0.4770418405532837
 risk of interval [35,39]: 0.5200945734977722
 risk of interval [40,44]: 0.5950589179992676
 risk of interval [45,49]: 0.7377086281776428
 risk of interval [50,54]: 0.9880377650260925
 risk of interval [55,59]: 0.8951923847198486
 risk of interval [60,64]: 0.7815756797790527
 risk of interval [65,69]: 0.47136494517326355
 risk of interval [70,74]: 0.9908119440078735
4_010_C_snippet
 risk of interval [0,4]: 0.014514099806547165
 risk of interval [5,9]: 0.9765107035636902
 risk of interval [10,14]: 0.8696421980857849
 risk of interval [15,19]: 0.9310390949249268
 risk of interval [20,24]: 0.22543936967849731
 risk of interval [25,29]: 0.88200843334198
 risk of interval [30,34]: 0.8199140429496765
 risk of interval [35,39]: 0.3758903741836548
 risk of interval [40,44]: 0.6990333199501038
 risk of interval [45,49]: 0.2999531328678131
 risk of interval [50,54]: 0.7623674273490906
 risk of interval [55,59]: 0.40116870403289795
 risk of interval [60,64]: 0.9823065996170044
 risk of interval [65,69]: 0.4421003460884094
 risk of interval [70,74]: 0.4759008586406708
4_013_C_snippet
 risk of interval [0,4]: 0.673141360282898
 risk of interval [5,9]: 0.6477654576301575
 risk of interval [10,14]: 0.9739285707473755
 risk of interval [15,19]: 0.984656572341919
 risk of interval [20,24]: 0.19369356334209442
 risk of interval [25,29]: 0.34982916712760925
 risk of interval [30,34]: 0.7260425686836243
 risk of interval [35,39]: 0.6005175709724426
 risk of interval [40,44]: 0.7284213900566101
 risk of interval [45,49]: 0.8724638223648071
 risk of interval [50,54]: 0.3562081456184387
 risk of interval [55,59]: 0.45852628350257874
 risk of interval [60,64]: 0.7062862515449524
 risk of interval [65,69]: 0.44560736417770386
 risk of interval [70,74]: 0.33213433623313904
4_014_C_snippet
 risk of interval [0,4]: 0.9539514780044556
 risk of interval [5,9]: 0.9848359227180481
 risk of interval [10,14]: 0.8899584412574768
 risk of interval [15,19]: 0.9532144069671631
 risk of interval [20,24]: 0.649699866771698
 risk of interval [25,29]: 0.4633130729198456
 risk of interval [30,34]: 0.5393927097320557
 risk of interval [35,39]: 0.6381694674491882
 risk of interval [40,44]: 0.7536208629608154
 risk of interval [45,49]: 0.705435574054718
 risk of interval [50,54]: 0.6744981408119202
 risk of interval [55,59]: 0.8229644298553467
 risk of interval [60,64]: 0.6637581586837769
 risk of interval [65,69]: 0.37301963567733765
 risk of interval [70,74]: 0.4570024311542511
4_016_C_snippet
 risk of interval [0,4]: 0.9866156578063965
 risk of interval [5,9]: 0.893092930316925
 risk of interval [10,14]: 0.9015865921974182
 risk of interval [15,19]: 0.8149371147155762
 risk of interval [20,24]: 0.5552499890327454
 risk of interval [25,29]: 0.7782198190689087
 risk of interval [30,34]: 0.7226628065109253
 risk of interval [35,39]: 0.8535845875740051
 risk of interval [40,44]: 0.8204725384712219
 risk of interval [45,49]: 0.8756791353225708
 risk of interval [50,54]: 0.9288679361343384
 risk of interval [55,59]: 0.9334942698478699
 risk of interval [60,64]: 0.9290281534194946
 risk of interval [65,69]: 0.9407360553741455
 risk of interval [70,74]: 0.9489915370941162
4_018_C_snippet
 risk of interval [0,4]: 0.9909103512763977
 risk of interval [5,9]: 0.8958225250244141
 risk of interval [10,14]: 0.20419858396053314
 risk of interval [15,19]: 0.49358513951301575
 risk of interval [20,24]: 0.756759762763977
 risk of interval [25,29]: 0.7854195833206177
 risk of interval [30,34]: 0.38697749376296997
 risk of interval [35,39]: 0.6186501979827881
 risk of interval [40,44]: 0.6960399746894836
 risk of interval [45,49]: 0.6602636575698853
 risk of interval [50,54]: 0.6467913389205933
 risk of interval [55,59]: 0.6364401578903198
 risk of interval [60,64]: 0.662656843662262
 risk of interval [65,69]: 0.674747884273529
 risk of interval [70,74]: 0.6350268721580505
4_019_C_snippet
 risk of interval [0,4]: 0.30485251545906067
 risk of interval [5,9]: 0.6184270977973938
 risk of interval [10,14]: 0.9350658059120178
 risk of interval [15,19]: 0.9802858233451843
 risk of interval [20,24]: 0.4212239980697632
 risk of interval [25,29]: 0.878301203250885
 risk of interval [30,34]: 0.61441969871521
 risk of interval [35,39]: 0.9622175693511963
 risk of interval [40,44]: 0.7717633843421936
 risk of interval [45,49]: 0.8351566791534424
 risk of interval [50,54]: 0.8030003905296326
 risk of interval [55,59]: 0.6532352566719055
 risk of interval [60,64]: 0.7392441630363464
 risk of interval [65,69]: 0.4118829667568207
 risk of interval [70,74]: 0.943871259689331
5_000_C_snippet
 risk of interval [0,4]: 0.6631367206573486
 risk of interval [5,9]: 0.6487557291984558
 risk of interval [10,14]: 0.7169097065925598
 risk of interval [15,19]: 0.9537922143936157
 risk of interval [20,24]: 0.9305593967437744
 risk of interval [25,29]: 0.9254909753799438
 risk of interval [30,34]: 0.9265950322151184
 risk of interval [35,39]: 0.8004301190376282
 risk of interval [40,44]: 0.6297211050987244
 risk of interval [45,49]: 0.5387059450149536
 risk of interval [50,54]: 0.04048629850149155
 risk of interval [55,59]: 0.5462778806686401
 risk of interval [60,64]: 0.4386931359767914
 risk of interval [65,69]: 0.6248542666435242
 risk of interval [70,74]: 0.7424881458282471
5_001_C_snippet
 risk of interval [0,4]: 0.7071519494056702
 risk of interval [5,9]: 0.8402344584465027
 risk of interval [10,14]: 0.7322227954864502
 risk of interval [15,19]: 0.5725205540657043
 risk of interval [20,24]: 0.39850881695747375
 risk of interval [25,29]: 0.7036667466163635
 risk of interval [30,34]: 0.15476128458976746
 risk of interval [35,39]: 0.9023613333702087
 risk of interval [40,44]: 0.9023631811141968
 risk of interval [45,49]: 0.9310923218727112
 risk of interval [50,54]: 0.8326658606529236
 risk of interval [55,59]: 0.9154455065727234
 risk of interval [60,64]: 0.5604119896888733
 risk of interval [65,69]: 0.948747456073761
 risk of interval [70,74]: 0.9360318183898926
5_003_C_snippet
 risk of interval [0,4]: 0.8850775361061096
 risk of interval [5,9]: 0.95103919506073
 risk of interval [10,14]: 0.5542348027229309
 risk of interval [15,19]: 0.7374877333641052
 risk of interval [20,24]: 0.6597340703010559
 risk of interval [25,29]: 0.971121072769165
 risk of interval [30,34]: 0.9571020007133484
 risk of interval [35,39]: 0.9084634184837341
 risk of interval [40,44]: 0.9220877289772034
 risk of interval [45,49]: 0.9607217311859131
 risk of interval [50,54]: 0.9535627365112305
 risk of interval [55,59]: 0.9401911497116089
 risk of interval [60,64]: 0.611804187297821
 risk of interval [65,69]: 0.6003220081329346
 risk of interval [70,74]: 0.55690598487854
5_005_C_snippet
 risk of interval [0,4]: 0.5113999843597412
 risk of interval [5,9]: 0.9066964983940125
 risk of interval [10,14]: 0.9174920320510864
 risk of interval [15,19]: 0.9792457222938538
 risk of interval [20,24]: 0.6782601475715637
 risk of interval [25,29]: 0.9550572633743286
 risk of interval [30,34]: 0.5647210478782654
 risk of interval [35,39]: 0.5780234336853027
 risk of interval [40,44]: 0.7004602551460266
 risk of interval [45,49]: 0.9279270172119141
 risk of interval [50,54]: 0.6395649909973145
 risk of interval [55,59]: 0.7396921515464783
 risk of interval [60,64]: 0.8760283589363098
 risk of interval [65,69]: 0.8178572654724121
 risk of interval [70,74]: 0.6862465739250183
5_006_C_snippet
 risk of interval [0,4]: 0.3967595100402832
 risk of interval [5,9]: 0.9596173167228699
 risk of interval [10,14]: 0.9764948487281799
 risk of interval [15,19]: 0.8411701917648315
 risk of interval [20,24]: 0.6702233552932739
 risk of interval [25,29]: 0.4415052831172943
 risk of interval [30,34]: 0.5486288070678711
 risk of interval [35,39]: 0.8531546592712402
 risk of interval [40,44]: 0.9706579446792603
 risk of interval [45,49]: 0.9779508709907532
 risk of interval [50,54]: 0.9079156517982483
 risk of interval [55,59]: 0.21231353282928467
 risk of interval [60,64]: 0.23719999194145203
 risk of interval [65,69]: 0.6590766310691833
 risk of interval [70,74]: 0.3528667688369751
5_007_C_snippet
 risk of interval [0,4]: 0.9666638374328613
 risk of interval [5,9]: 0.9475576877593994
 risk of interval [10,14]: 0.9847352504730225
 risk of interval [15,19]: 0.24257516860961914
 risk of interval [20,24]: 0.7026243805885315
 risk of interval [25,29]: 0.9446139335632324
 risk of interval [30,34]: 0.9469722509384155
 risk of interval [35,39]: 0.9447996020317078
 risk of interval [40,44]: 0.9425610899925232
 risk of interval [45,49]: 0.9489534497261047
 risk of interval [50,54]: 0.9399855136871338
 risk of interval [55,59]: 0.947533369064331
 risk of interval [60,64]: 0.9479078650474548
 risk of interval [65,69]: 0.9480430483818054
 risk of interval [70,74]: 0.9631561040878296
5_008_C_snippet
 risk of interval [0,4]: 0.1592586487531662
 risk of interval [5,9]: 0.5175278186798096
 risk of interval [10,14]: 0.40041741728782654
 risk of interval [15,19]: 0.903465747833252
 risk of interval [20,24]: 0.9849305748939514
 risk of interval [25,29]: 0.974486231803894
 risk of interval [30,34]: 0.18984076380729675
 risk of interval [35,39]: 0.5390329360961914
 risk of interval [40,44]: 0.8910688161849976
 risk of interval [45,49]: 0.9485037326812744
 risk of interval [50,54]: 0.9642172455787659
 risk of interval [55,59]: 0.9710308909416199
 risk of interval [60,64]: 0.9736771583557129
 risk of interval [65,69]: 0.9751116633415222
 risk of interval [70,74]: 0.9504606127738953
5_009_C_snippet
 risk of interval [0,4]: 0.4193991720676422
 risk of interval [5,9]: 0.6253510117530823
 risk of interval [10,14]: 0.7486761212348938
 risk of interval [15,19]: 0.7365081906318665
 risk of interval [20,24]: 0.7587205767631531
 risk of interval [25,29]: 0.9887183904647827
 risk of interval [30,34]: 0.9915350079536438
 risk of interval [35,39]: 0.9891533255577087
 risk of interval [40,44]: 0.6859371662139893
 risk of interval [45,49]: 0.8812833428382874
 risk of interval [50,54]: 0.8216312527656555
 risk of interval [55,59]: 0.7668298482894897
 risk of interval [60,64]: 0.7666237354278564
 risk of interval [65,69]: 0.8826436996459961
 risk of interval [70,74]: 0.8966914415359497
5_010_C_snippet
 risk of interval [0,4]: 0.6611555814743042
 risk of interval [5,9]: 0.5699112415313721
 risk of interval [10,14]: 0.7608309984207153
 risk of interval [15,19]: 0.9846459031105042
 risk of interval [20,24]: 0.5408995151519775
 risk of interval [25,29]: 0.9868497848510742
 risk of interval [30,34]: 0.9820116758346558
 risk of interval [35,39]: 0.6378640532493591
 risk of interval [40,44]: 0.03076242469251156
 risk of interval [45,49]: 0.042001351714134216
 risk of interval [50,54]: 0.037287916988134384
 risk of interval [55,59]: 0.24851669371128082
 risk of interval [60,64]: 0.4277466833591461
 risk of interval [65,69]: 0.3743792176246643
 risk of interval [70,74]: 0.25475990772247314
5_011_C_snippet
 risk of interval [0,4]: 0.4655846059322357
 risk of interval [5,9]: 0.8903301358222961
 risk of interval [10,14]: 0.4882853329181671
 risk of interval [15,19]: 0.6383475065231323
 risk of interval [20,24]: 0.8391704559326172
 risk of interval [25,29]: 0.9618309736251831
 risk of interval [30,34]: 0.9244690537452698
 risk of interval [35,39]: 0.9634193778038025
 risk of interval [40,44]: 0.9876902103424072
 risk of interval [45,49]: 0.9819212555885315
 risk of interval [50,54]: 0.9495634436607361
 risk of interval [55,59]: 0.9737761616706848
 risk of interval [60,64]: 0.9869411587715149
 risk of interval [65,69]: 0.9715133905410767
 risk of interval [70,74]: 0.9801210761070251
5_012_C_snippet
 risk of interval [0,4]: 0.4351695477962494
 risk of interval [5,9]: 0.2911303639411926
 risk of interval [10,14]: 0.44409728050231934
 risk of interval [15,19]: 0.2953246235847473
 risk of interval [20,24]: 0.8057175278663635
 risk of interval [25,29]: 0.7798335552215576
 risk of interval [30,34]: 0.8234789371490479
 risk of interval [35,39]: 0.9072624444961548
 risk of interval [40,44]: 0.8883541822433472
 risk of interval [45,49]: 0.924466073513031
 risk of interval [50,54]: 0.9605871438980103
 risk of interval [55,59]: 0.8034732341766357
 risk of interval [60,64]: 0.9102436304092407
 risk of interval [65,69]: 0.5977874398231506
 risk of interval [70,74]: 0.9155011773109436
6_000_C_snippet
 risk of interval [0,4]: 0.017333216965198517
 risk of interval [5,9]: 0.03952210396528244
 risk of interval [10,14]: 0.02123527228832245
 risk of interval [15,19]: 0.015778442844748497
 risk of interval [20,24]: 0.01884538121521473
 risk of interval [25,29]: 0.12245164066553116
 risk of interval [30,34]: 0.850767195224762
 risk of interval [35,39]: 0.6355451345443726
 risk of interval [40,44]: 0.9320009350776672
 risk of interval [45,49]: 0.7209286689758301
 risk of interval [50,54]: 0.14944949746131897
 risk of interval [55,59]: 0.13389356434345245
 risk of interval [60,64]: 0.06327725201845169
 risk of interval [65,69]: 0.03888436779379845
 risk of interval [70,74]: 0.017720190808176994
6_002_C_snippet
 risk of interval [0,4]: 0.25309839844703674
 risk of interval [5,9]: 0.4986615777015686
 risk of interval [10,14]: 0.644651472568512
 risk of interval [15,19]: 0.9284460544586182
 risk of interval [20,24]: 0.5671712756156921
 risk of interval [25,29]: 0.9793761372566223
 risk of interval [30,34]: 0.983645498752594
 risk of interval [35,39]: 0.9875281453132629
 risk of interval [40,44]: 0.9842766523361206
 risk of interval [45,49]: 0.8915190696716309
 risk of interval [50,54]: 0.9642630815505981
 risk of interval [55,59]: 0.936897337436676
 risk of interval [60,64]: 0.9834541082382202
 risk of interval [65,69]: 0.9599112868309021
 risk of interval [70,74]: 0.7859745621681213
6_004_C_snippet
 risk of interval [0,4]: 0.4374794065952301
 risk of interval [5,9]: 0.5149157643318176
 risk of interval [10,14]: 0.5934125781059265
 risk of interval [15,19]: 0.4329889416694641
 risk of interval [20,24]: 0.6245744228363037
 risk of interval [25,29]: 0.6442597508430481
 risk of interval [30,34]: 0.7455474138259888
 risk of interval [35,39]: 0.9914121627807617
 risk of interval [40,44]: 0.5354363322257996
 risk of interval [45,49]: 0.5460116267204285
 risk of interval [50,54]: 0.8782105445861816
 risk of interval [55,59]: 0.7406994104385376
 risk of interval [60,64]: 0.7832795977592468
 risk of interval [65,69]: 0.7259247899055481
 risk of interval [70,74]: 0.7438281178474426
6_005_C_snippet
 risk of interval [0,4]: 0.025242993608117104
 risk of interval [5,9]: 0.12854944169521332
 risk of interval [10,14]: 0.7273776531219482
 risk of interval [15,19]: 0.7202257513999939
 risk of interval [20,24]: 0.6760291457176208
 risk of interval [25,29]: 0.8753582239151001
 risk of interval [30,34]: 0.9241763353347778
 risk of interval [35,39]: 0.9573630690574646
 risk of interval [40,44]: 0.9048351645469666
 risk of interval [45,49]: 0.8520969152450562
 risk of interval [50,54]: 0.8103356957435608
 risk of interval [55,59]: 0.8962514996528625
 risk of interval [60,64]: 0.7485780119895935
 risk of interval [65,69]: 0.793845534324646
 risk of interval [70,74]: 0.5468930006027222
6_006_C_snippet
 risk of interval [0,4]: 0.05281344801187515
 risk of interval [5,9]: 0.8710266351699829
 risk of interval [10,14]: 0.9353266954421997
 risk of interval [15,19]: 0.8915572762489319
 risk of interval [20,24]: 0.5966248512268066
 risk of interval [25,29]: 0.5519721508026123
 risk of interval [30,34]: 0.8167966604232788
 risk of interval [35,39]: 0.920697033405304
 risk of interval [40,44]: 0.6467134952545166
 risk of interval [45,49]: 0.2823205888271332
 risk of interval [50,54]: 0.48967987298965454
 risk of interval [55,59]: 0.5060549974441528
 risk of interval [60,64]: 0.7597557902336121
 risk of interval [65,69]: 0.39145058393478394
 risk of interval [70,74]: 0.5200690627098083
6_007_C_snippet
 risk of interval [0,4]: 0.669441282749176
 risk of interval [5,9]: 0.37201014161109924
 risk of interval [10,14]: 0.5141461491584778
 risk of interval [15,19]: 0.4479491710662842
 risk of interval [20,24]: 0.5410314202308655
 risk of interval [25,29]: 0.8681819438934326
 risk of interval [30,34]: 0.8245863914489746
 risk of interval [35,39]: 0.7980450391769409
 risk of interval [40,44]: 0.9001684188842773
 risk of interval [45,49]: 0.9097409248352051
 risk of interval [50,54]: 0.22639679908752441
 risk of interval [55,59]: 0.7026946544647217
 risk of interval [60,64]: 0.6659883260726929
 risk of interval [65,69]: 0.6249011754989624
 risk of interval [70,74]: 0.5129103660583496
6_008_C_snippet
 risk of interval [0,4]: 0.6859385967254639
 risk of interval [5,9]: 0.6053612232208252
 risk of interval [10,14]: 0.737517237663269
 risk of interval [15,19]: 0.5979141592979431
 risk of interval [20,24]: 0.6934840083122253
 risk of interval [25,29]: 0.5531582832336426
 risk of interval [30,34]: 0.6704477071762085
 risk of interval [35,39]: 0.8364712595939636
 risk of interval [40,44]: 0.8370068669319153
 risk of interval [45,49]: 0.8093705177307129
 risk of interval [50,54]: 0.6865687370300293
 risk of interval [55,59]: 0.8094740509986877
 risk of interval [60,64]: 0.5700083374977112
 risk of interval [65,69]: 0.4823491871356964
 risk of interval [70,74]: 0.9613201022148132
6_009_C_snippet
 risk of interval [0,4]: 0.09568457305431366
 risk of interval [5,9]: 0.7755225300788879
 risk of interval [10,14]: 0.5355796813964844
 risk of interval [15,19]: 0.4724130928516388
 risk of interval [20,24]: 0.31883886456489563
 risk of interval [25,29]: 0.41302815079689026
 risk of interval [30,34]: 0.9058256149291992
 risk of interval [35,39]: 0.9698940515518188
 risk of interval [40,44]: 0.9371281862258911
 risk of interval [45,49]: 0.9263954758644104
 risk of interval [50,54]: 0.7888514995574951
 risk of interval [55,59]: 0.7913305163383484
 risk of interval [60,64]: 0.7811041474342346
 risk of interval [65,69]: 0.8163818717002869
 risk of interval [70,74]: 0.8709792494773865
6_012_C_snippet
 risk of interval [0,4]: 0.10907629877328873
 risk of interval [5,9]: 0.2826490104198456
 risk of interval [10,14]: 0.5896757245063782
 risk of interval [15,19]: 0.015397311188280582
 risk of interval [20,24]: 0.017660778015851974
 risk of interval [25,29]: 0.5732152462005615
 risk of interval [30,34]: 0.16418012976646423
 risk of interval [35,39]: 0.6922088265419006
 risk of interval [40,44]: 0.7460193634033203
 risk of interval [45,49]: 0.6915773153305054
 risk of interval [50,54]: 0.9594231843948364
 risk of interval [55,59]: 0.9730522036552429
 risk of interval [60,64]: 0.9868762493133545
 risk of interval [65,69]: 0.8459287881851196
 risk of interval [70,74]: 0.8423617482185364
6_013_C_snippet
 risk of interval [0,4]: 0.24706025421619415
 risk of interval [5,9]: 0.029113849624991417
 risk of interval [10,14]: 0.04932917281985283
 risk of interval [15,19]: 0.6059374213218689
 risk of interval [20,24]: 0.11764804273843765
 risk of interval [25,29]: 0.9694982171058655
 risk of interval [30,34]: 0.6850849986076355
 risk of interval [35,39]: 0.22149094939231873
 risk of interval [40,44]: 0.7546167969703674
 risk of interval [45,49]: 0.8907058238983154
 risk of interval [50,54]: 0.7413643598556519
 risk of interval [55,59]: 0.7672162055969238
 risk of interval [60,64]: 0.594136655330658
 risk of interval [65,69]: 0.808491051197052
 risk of interval [70,74]: 0.7944340109825134
6_014_C_snippet
 risk of interval [0,4]: 0.049505725502967834
 risk of interval [5,9]: 0.02366638369858265
 risk of interval [10,14]: 0.017248328775167465
 risk of interval [15,19]: 0.019589325413107872
 risk of interval [20,24]: 0.46545255184173584
 risk of interval [25,29]: 0.9591429233551025
 risk of interval [30,34]: 0.7046189308166504
 risk of interval [35,39]: 0.07409936934709549
 risk of interval [40,44]: 0.2759752869606018
 risk of interval [45,49]: 0.6861905455589294
 risk of interval [50,54]: 0.6883713006973267
 risk of interval [55,59]: 0.2130727916955948
 risk of interval [60,64]: 0.0170323234051466
 risk of interval [65,69]: 0.02328507974743843
 risk of interval [70,74]: 0.02267400175333023
7_005_C_snippet
 risk of interval [0,4]: 0.1687919795513153
 risk of interval [5,9]: 0.015286029316484928
 risk of interval [10,14]: 0.0253138467669487
 risk of interval [15,19]: 0.06610675901174545
 risk of interval [20,24]: 0.6460716128349304
 risk of interval [25,29]: 0.845439076423645
 risk of interval [30,34]: 0.7855865359306335
 risk of interval [35,39]: 0.1679958701133728
 risk of interval [40,44]: 0.21335305273532867
 risk of interval [45,49]: 0.018169010058045387
 risk of interval [50,54]: 0.0780201256275177
 risk of interval [55,59]: 0.07653120160102844
 risk of interval [60,64]: 0.06485696136951447
 risk of interval [65,69]: 0.01823444478213787
 risk of interval [70,74]: 0.021088857203722
7_007_C_snippet
 risk of interval [0,4]: 0.9146620631217957
 risk of interval [5,9]: 0.9031391143798828
 risk of interval [10,14]: 0.7680922746658325
 risk of interval [15,19]: 0.9000892043113708
 risk of interval [20,24]: 0.697605550289154
 risk of interval [25,29]: 0.39104926586151123
 risk of interval [30,34]: 0.2561691999435425
 risk of interval [35,39]: 0.43911316990852356
 risk of interval [40,44]: 0.4417859613895416
 risk of interval [45,49]: 0.20234180986881256
 risk of interval [50,54]: 0.014764715917408466
 risk of interval [55,59]: 0.014991501346230507
 risk of interval [60,64]: 0.015406508930027485
 risk of interval [65,69]: 0.016315046697854996
 risk of interval [70,74]: 0.016003092750906944
7_008_C_snippet
 risk of interval [0,4]: 0.09006933122873306
 risk of interval [5,9]: 0.11686351150274277
 risk of interval [10,14]: 0.4477907419204712
 risk of interval [15,19]: 0.9813135862350464
 risk of interval [20,24]: 0.9874858856201172
 risk of interval [25,29]: 0.9767099022865295
 risk of interval [30,34]: 0.7034178972244263
 risk of interval [35,39]: 0.6952363848686218
 risk of interval [40,44]: 0.5823202729225159
 risk of interval [45,49]: 0.25662416219711304
 risk of interval [50,54]: 0.09928038716316223
 risk of interval [55,59]: 0.057301416993141174
 risk of interval [60,64]: 0.09018804877996445
 risk of interval [65,69]: 0.037506554275751114
 risk of interval [70,74]: 0.04087068885564804
